Frame	X1	Y1	Flag1
Tracks 1 to 1
1	273.8204	385.69833	 
2	262.46985	384.81482	 
3	251.71024	383.79337	 
4	241.73412	380.9952	 
5	229.75894	377.6495	 
6	219.29434	373.83868	 
7	210.48557	370.93353	 
8	200.72539	368.28824	 
9	191.45068	366.3565	 
10	180.79533	363.85995	 
11	169.5431	360.0845	 
12	162.11565	356.79218	 
13	154.61327	356.3408	 
14	147.88655	357.23032	 
15	138.98544	355.82904	 
16	129.62466	353.96915	 
17	119.12934	352.60745	 
18	109.98812	350.36874	 
19	101.902504	348.58606	 
20	91.59516	347.70328	 
21	79.750786	347.79703	 
22	65.37581	346.81784	 
23	57.166264	344.40067	 
24	51.11257	341.03656	 
25	48.007347	338.9045	 
26	48.045147	338.49124	 
27	48.101025	336.87207	 
28	48.599377	334.39407	 
29	53.388462	333.0721	 
30	56.013283	332.35995	 
31	57.118717	331.50528	 
32	56.863487	330.99966	 
33	56.40639	330.14752	 
34	55.810192	329.13947	 
35	55.28112	327.17288	 
36	54.33405	323.9852	 
37	53.961037	321.2634	 
38	52.982758	316.85413	 
39	51.441883	311.73065	 
40	49.53892	305.9943	 
41	47.290703	300.39017	 
42	45.824184	294.30908	 
43	45.340714	287.03586	 
44	46.02157	278.35797	 
45	45.064037	271.9101	 
46	41.500244	263.60663	 
47	38.33856	256.982	 
48	39.075493	250.0395	 
49	40.808018	240.61981	 
50	43.42213	231.0135	 
51	43.13621	220.39784	 
52	41.337204	210.27678	 
53	39.508186	199.41815	 
54	39.747486	186.15918	 
55	40.908783	173.88449	 
56	42.994846	162.10211	 
57	44.0428	151.6658	 
58	43.421032	139.10216	 
59	41.950123	128.43018	 
60	41.31805	117.97918	 
61	40.413376	106.207344	 
62	42.42895	95.94822	 
63	43.926647	84.68663	 
64	45.0487	77.67556	 
65	45.42868	73.934105	 
66	45.82065	73.998695	 
67	46.326157	73.69272	 
68	46.593136	74.291504	 
69	46.282475	77.91946	 
70	47.269547	78.67678	 
71	48.803368	79.0022	 
72	50.97498	77.40576	 
73	54.16726	75.323875	 
74	58.573906	73.550865	 
75	62.98482	73.712204	 
76	67.00504	73.48677	 
77	70.73875	72.13613	 
78	73.568016	70.42112	 
79	77.12865	67.16862	 
80	81.02315	63.10702	 
81	85.10996	59.246353	 
82	89.68933	56.17345	 
83	91.656	55.43381	 
84	90.90551	56.972115	 
85	85.08114	61.46121	 
86	81.731064	64.12342	 
87	79.0655	65.6246	 
88	76.65499	66.95148	 
89	73.71551	68.4767	 
90	70.41983	70.04446	 
91	68.31854	70.959984	 
92	67.217094	72.33811	 
93	66.98785	72.996216	 
94	66.92346	73.64607	 
95	67.61895	74.23351	 
96	68.991295	74.07614	 
97	71.09078	72.978355	 
98	73.30405	71.50446	 
99	76.42331	67.55157	 
100	77.77186	65.44543	 
101	78.19258	64.44428	 
102	78.77723	63.407272	 
103	79.05493	62.469078	 
104	78.923996	59.35647	 
105	77.97033	57.7157	 
106	77.43571	55.236237	 
107	72.97546	48.019695	 
108	71.546455	44.295418	 
109	75.399216	45.52849	 
110	76.49357	48.971233	 
111	76.20895	45.310852	 
112	80.06268	47.426624	 
113	80.65813	46.776615	 
114	81.472984	43.49771	 
115	80.19174	43.06337	 
116	82.67944	38.36934	 
117	82.928085	38.2341	 
118	83.49613	38.76718	 
119	82.615074	39.486835	 
120	82.70865	40.953865	 
121	82.77124	49.459034	 
122	79.12267	52.258583	 
123	76.62893	57.945282	 
124	75.884964	62.46515	 
125	75.66026	65.50098	 
126	75.95188	67.98912	 
127	76.80646	70.0623	 
128	77.9592	72.747925	 
129	78.13862	76.4396	 
130	79.509445	80.52544	 
131	78.414696	83.78745	 
132	78.231895	85.62469	 
133	79.208435	86.34786	 
134	80.34027	86.41502	 
135	80.515396	86.36319	 
136	81.26221	86.07997	 
137	83.4083	85.10565	 
138	84.661575	84.5162	 
139	85.02221	84.13091	 
140	85.53357	83.46158	 
141	85.80206	82.833206	 
142	84.67113	82.37138	 
143	82.42896	81.84754	 
144	79.560776	81.25619	 
145	74.886444	80.71209	 
146	68.51085	81.579346	 
147	59.14129	83.73893	 
148	54.090237	85.119286	 
149	47.297043	89.57219	 
150	43.862312	93.48827	 
151	42.958836	95.96165	 
152	41.69989	100.00599	 
153	41.24617	104.53348	 
154	40.38009	110.18495	 
155	38.955414	117.177025	 
156	36.6593	124.17512	 
157	34.715645	130.24536	 
158	34.206097	134.63019	 
159	36.365227	136.3747	 
160	41.297073	134.66743	 
161	42.40954	134.93613	 
162	44.706375	132.94351	 
163	47.543217	131.56067	 
164	51.286495	132.4957	 
165	53.421978	133.73056	 
166	55.481647	136.36081	 
167	58.202812	139.61801	 
168	60.66987	142.8437	 
169	63.732254	146.8671	 
170	68.98091	153.82736	 
171	75.861465	159.25656	 
172	82.78689	163.525	 
173	86.79694	167.88457	 
174	91.5535	172.1382	 
175	94.48681	176.87187	 
176	95.92274	179.9644	 
177	95.84246	181.11401	 
178	95.87378	179.96167	 
179	95.73058	178.5482	 
180	94.48017	176.33467	 
181	93.1013	174.80016	 
182	92.29797	173.46051	 
183	91.35801	172.45639	 
184	90.05718	170.66702	 
185	89.98351	170.4174	 
186	90.34003	170.58801	 
187	91.333855	171.21846	 
188	91.94084	171.23647	 
189	92.11789	171.79607	 
190	92.937965	172.10115	 
191	93.62677	172.41774	 
192	94.226906	172.63164	 
193	95.66174	173.04292	 
194	95.84306	173.12775	 
195	95.98138	173.07396	 
196	95.622536	172.97618	 
197	96.01961	173.32475	 
198	96.28328	173.35529	 
199	96.19001	173.39049	 
200	95.89363	173.0865	 
201	95.66565	172.82213	 
202	95.86314	173.08751	 
203	95.645966	173.0597	 
204	95.27005	173.04112	 
205	95.55209	172.93344	 
206	95.48703	172.94896	 
207	95.60587	172.92043	 
208	95.59501	172.915	 
209	95.87449	173.06445	 
210	95.96393	173.00607	 
211	96.12407	173.01729	 
212	96.549225	171.65869	 
213	96.40809	170.45422	 
214	97.19615	169.23288	 
215	98.93149	168.43253	 
216	100.4976	167.41624	 
217	102.82317	166.8622	 
218	105.106445	167.15855	 
219	104.65938	167.25179	 
220	105.627945	168.66838	 
221	104.88313	169.44547	 
222	104.731575	170.08418	 
223	101.78787	171.16472	 
224	98.93879	172.34412	 
225	90.14432	171.96803	 
226	85.55247	173.49937	 
227	81.44426	172.4688	 
228	79.22698	172.886	 
229	78.24771	173.80885	 
230	77.564316	174.93976	 
231	76.44843	176.88441	 
232	76.079636	173.89334	 
233	75.879105	173.89241	 
234	75.9205	173.61215	 
235	75.84946	172.83824	 
236	75.668625	173.14487	 
237	75.11235	172.50957	 
238	75.59722	170.99638	 
239	75.8029	170.8812	 
240	76.10296	169.64084	 
241	76.9499	168.20941	 
242	77.59481	166.6135	 
243	78.106674	165.25719	 
244	79.22264	163.69017	 
245	80.36545	162.66914	 
246	80.92358	161.55981	 
247	81.37073	160.67471	 
248	81.89071	158.89528	 
249	81.90893	157.7927	 
250	81.0007	157.07375	 
251	80.8697	156.93353	 
252	81.76735	155.77545	 
253	81.49685	155.92326	 
254	82.96608	157.69293	 
255	82.7683	158.02025	 
256	82.487236	158.66147	 
257	82.55297	159.46957	 
258	81.10389	159.58755	 
259	78.45006	159.67886	 
260	74.29212	155.33853	 
261	71.59981	151.97954	 
262	72.05783	151.73758	 
263	70.86506	150.51143	 
264	70.252914	149.83028	 
265	69.648254	149.31108	 
266	69.752815	148.47061	 
267	70.2377	148.81151	 
268	70.59695	150.03795	 
269	69.66501	151.08789	 
270	70.56594	151.93239	 
271	71.15473	152.36337	 
272	71.94945	152.62852	 
273	72.545494	153.09016	 
274	72.69743	153.51532	 
275	72.41345	154.58818	 
276	72.43623	154.73354	 
277	72.52983	154.51176	 
278	72.297646	155.13686	 
279	72.32601	155.2867	 
280	71.87463	155.66785	 
281	71.76973	156.03236	 
282	71.80239	155.8186	 
283	71.38452	155.7573	 
284	70.54461	155.37753	 
285	70.3525	155.09732	 
286	70.50827	154.75838	 
287	70.44674	153.75764	 
288	70.6947	153.21771	 
289	71.10065	153.51215	 
290	71.10217	153.75514	 
291	70.10922	154.17192	 
292	70.0824	154.5624	 
293	70.392456	155.20345	 
294	69.871346	155.9237	 
295	70.44569	156.2524	 
296	70.87105	156.45459	 
297	70.47449	156.72633	 
298	70.092285	155.21985	 
299	70.074295	153.51526	 
300	69.49149	153.17598	 
301	68.96645	153.0604	 
302	69.11989	153.085	 
303	68.63978	153.59465	 
304	67.22511	154.25897	 
305	66.65574	154.37207	 
306	65.9659	154.65118	 
307	65.51644	155.1712	 
308	65.57502	155.44693	 
309	65.50634	155.43425	 
310	65.054245	155.26768	 
311	64.886765	155.53629	 
312	64.22957	155.57433	 
313	63.210217	155.63495	 
314	62.632492	155.64195	 
315	62.01622	155.9992	 
316	61.86469	155.99661	 
317	61.435497	156.36162	 
318	61.046417	155.78476	 
319	60.87762	155.52214	 
320	59.97828	156.15636	 
321	60.226322	155.89505	 
322	59.95583	156.29034	 
323	59.71531	156.29585	 
324	59.589523	155.9398	 
325	59.21563	156.27596	 
326	59.422684	156.15366	 
327	59.056534	156.57631	 
328	59.12738	156.80458	 
329	59.046925	157.29692	 
330	58.751835	157.54971	 
331	58.69519	157.56194	 
332	58.915527	157.31778	 
333	58.93017	157.2123	 
334	58.451508	157.63896	 
335	58.510696	157.55019	 
336	58.80844	157.32265	 
337	58.464474	157.53308	 
338	57.775665	157.67833	 
339	57.83742	157.54254	 
340	58.565727	157.42218	 
341	58.55059	157.65504	 
342	58.16584	157.70874	 
343	58.60949	157.3824	 
344	58.672512	157.36618	 
345	57.50164	157.75943	 
346	57.23868	157.50494	 
347	57.70734	157.27853	 
348	57.715416	157.15889	 
349	56.275215	156.64503	 
350	56.490868	156.75139	 
351	58.330963	157.65245	 
352	55.837215	156.74176	 
353	55.20284	156.78705	 
354	55.600723	156.40233	 
355	55.923252	156.3446	 
356	55.825844	156.34811	 
357	56.171623	156.0408	 
358	57.81162	156.42426	 
359	57.521896	157.05595	 
360	56.40624	157.13982	 
361	55.245316	156.9674	 
362	55.28577	157.03233	 
363	55.37796	156.58926	 
364	55.305466	156.97108	 
365	55.80781	155.95094	 
366	56.405903	155.83067	 
367	54.86235	155.46243	 
368	56.601063	157.35434	 
369	56.53582	157.24178	 
370	56.92857	156.90964	 
371	57.913532	156.66383	 
372	57.801296	156.47136	 
373	57.89651	156.2839	 
374	58.92007	155.9154	 
375	58.88512	156.0215	 
376	58.302387	157.20975	 
377	57.46981	157.65384	 
378	56.3894	158.3295	 
379	56.322193	157.93687	 
380	56.209373	157.84875	 
381	56.76544	157.38155	 
382	55.017796	156.17586	 
383	57.47395	156.4794	 
384	58.316994	155.87755	 
385	58.629234	155.6378	 
386	58.31157	156.00583	 
387	58.177094	156.12144	 
388	58.895287	155.69057	 
389	59.22123	155.8643	 
390	58.924362	156.1165	 
391	58.95178	156.08932	 
392	58.498775	156.80159	 
393	58.21161	156.91531	 
394	56.864594	156.76198	 
395	54.285828	155.4367	 
396	54.47447	155.34093	 
397	57.472256	156.33511	 
398	57.571682	156.0288	 
399	57.531174	155.94524	 
400	58.940853	155.20189	 
401	59.652184	155.27036	 
402	59.31601	155.94365	 
403	58.579563	157.13773	 
404	58.826504	157.44858	 
405	58.043846	157.52403	 
406	58.190903	157.39668	 
407	58.652615	157.59612	 
408	58.99835	157.91336	 
409	59.427242	157.71992	 
410	59.61691	157.18184	 
411	59.895557	157.02878	 
412	60.354317	156.63277	 
413	60.610374	156.25078	 
414	59.77919	157.00476	 
415	58.76133	157.23401	 
416	57.14422	157.14252	 
417	53.58257	155.64719	 
418	53.50878	155.75389	 
419	53.21728	155.83904	 
420	53.28566	156.03932	 
421	56.288124	157.51863	 
422	57.86534	156.02754	 
423	59.00127	153.04295	 
424	59.419712	152.22847	 
425	60.131916	152.97447	 
426	59.996937	153.42252	 
427	59.81674	153.32793	 
428	59.37343	153.95595	 
429	59.318916	154.41455	 
430	58.162575	155.24605	 
431	56.706432	157.06699	 
432	56.647987	159.01329	 
433	56.41167	160.17863	 
434	56.853004	161.2491	 
435	57.75944	161.38776	 
436	58.661552	160.86649	 
437	58.88736	161.39902	 
438	59.252266	161.1979	 
439	59.11887	159.4891	 
440	59.653873	159.9878	 
441	60.300285	160.45042	 
442	60.315754	159.76816	 
443	60.23369	158.49007	 
444	60.380554	160.23367	 
445	60.369408	161.68939	 
446	59.96337	161.845	 
447	59.322475	161.9277	 
448	59.37181	161.98096	 
449	59.62073	162.42221	 
450	58.881977	162.67157	 
451	57.96258	161.73676	 
452	58.427162	162.26344	 
453	58.587738	163.10394	 
454	58.16419	162.86305	 
455	57.277855	161.67561	 
456	56.766087	162.02939	 
457	56.76623	163.10754	 
458	56.382805	163.66753	 
459	56.47913	163.47409	 
460	56.549732	163.17584	 
461	57.20817	163.2195	 
462	57.700558	163.43861	 
463	57.469803	163.48715	 
464	57.36807	163.35394	 
465	57.745167	164.74731	 
466	56.968285	165.38837	 
467	56.648376	165.13106	 
468	56.277737	164.47025	 
469	56.56657	163.64748	 
470	56.709137	164.08359	 
471	55.942013	163.82202	 
472	56.34888	163.77798	 
473	57.344715	164.46872	 
474	57.520912	164.34639	 
475	58.186504	164.59102	 
476	58.556602	165.01022	 
477	58.352413	164.71301	 
478	57.960052	164.30316	 
479	58.01528	164.50388	 
480	57.800537	164.26672	 
481	58.86813	164.27382	 
482	59.527943	164.37918	 
483	60.32116	164.35393	 
484	61.046917	164.28053	 
485	61.82944	163.87227	 
486	62.015316	163.64346	 
487	62.479664	163.74208	 
488	61.96575	163.86517	 
489	62.01801	163.85081	 
