Frame	X1	Y1	Flag1	X2	Y2	Flag2	X3	Y3	Flag3	X4	Y4	Flag4
Tracks 1 to 4
1	332.2762	51.870083	 	 	 	 	 	 	 	 	 	 
2	330.81607	50.988583	 	 	 	 	 	 	 	 	 	 
3	330.127	51.87336	 	 	 	 	 	 	 	 	 	 
4	329.28687	50.848755	 	 	 	 	 	 	 	 	 	 
5	328.16055	52.474007	 	 	 	 	 	 	 	 	 	 
6	326.49963	52.471245	 	 	 	 	 	 	 	 	 	 
7	324.7495	51.73059	 	 	 	 	 	 	 	 	 	 
8	322.3806	51.259323	 	 	 	 	 	 	 	 	 	 
9	316.8212	48.560528	 	 	 	 	 	 	 	 	 	 
10	312.1297	46.647015	 	 	 	 	 	 	 	 	 	 
11	305.8023	42.99184	 	 	 	 	 	 	 	 	 	 
12	299.75116	37.75305	 	 	 	 	 	 	 	 	 	 
13	297.6427	32.840164	 	 	 	 	 	 	 	 	 	 
14	296.34726	30.436188	 	 	 	 	 	 	 	 	 	 
15	295.7378	30.032259	 	 	 	 	 	 	 	 	 	 
16	293.20587	29.106436	 	 	 	 	 	 	 	 	 	 
17	292.2005	28.227886	 	 	 	 	 	 	 	 	 	 
18	290.54648	27.403456	 	 	 	 	 	 	 	 	 	 
19	288.7995	26.94457	 	 	 	 	 	 	 	 	 	 
20	287.4322	26.333912	 	 	 	 	 	 	 	 	 	 
21	283.1143	25.777523	 	 	 	 	 	 	 	 	 	 
22	276.78787	25.833853	 	 	 	 	 	 	 	 	 	 
23	273.16235	25.972086	 	 	 	 	 	 	 	 	 	 
24	268.05176	27.083647	 	 	 	 	 	 	 	 	 	 
25	266.02148	27.081305	 	 	 	 	 	 	 	 	 	 
26	264.9513	28.5132	 	 	 	 	 	 	 	 	 	 
27	265.92456	32.054173	 	 	 	 	 	 	 	 	 	 
28	264.70767	33.67884	 	 	 	 	 	 	 	 	 	 
29	263.37128	34.830887	 	 	 	 	 	 	 	 	 	 
30	261.63522	35.285713	 	 	 	 	 	 	 	 	 	 
31	256.0204	35.378765	 	 	 	 	 	 	 	 	 	 
32	247.9004	35.35393	 	 	 	 	 	 	 	 	 	 
33	237.66315	36.722866	 	 	 	 	 	 	 	 	 	 
34	226.66667	38.088436	 	 	 	 	 	 	 	 	 	 
35	215.57938	38.888985	 	 	 	 	 	 	 	 	 	 
36	204.20717	39.277084	 	 	 	 	 	 	 	 	 	 
37	193.51173	41.58043	 	 	 	 	 	 	 	 	 	 
38	183.58719	43.377735	 	 	 	 	 	 	 	 	 	 
39	170.59811	45.199043	 	 	 	 	 	 	 	 	 	 
40	157.1347	46.95119	 	 	 	 	 	 	 	 	 	 
41	142.0616	48.751198	 	 	 	 	 	 	 	 	 	 
42	128.4707	52.42779	 	 	 	 	 	 	 	 	 	 
43	114.831604	54.585587	 	 	 	 	 	 	 	 	 	 
44	101.01364	56.38097	 	 	 	 	 	 	 	 	 	 
45	87.01523	57.22957	 	 	 	 	 	 	 	 	 	 
46	80.47785	58.093235	 	 	 	 	 	 	 	 	 	 
47	79.80277	58.465363	 	 	 	 	 	 	 	 	 	 
48	79.095505	59.220245	 	 	 	 	 	 	 	 	 	 
49	79.67005	59.876625	 	 	 	 	 	 	 	 	 	 
50	80.52465	60.187347	 	 	 	 	 	 	 	 	 	 
51	81.12893	60.26793	 	 	 	 	 	 	 	 	 	 
52	81.37011	60.375755	 	 	 	 	 	 	 	 	 	 
53	81.88873	60.48096	 	 	 	 	 	 	 	 	 	 
54	81.34558	60.311787	 	 	 	 	 	 	 	 	 	 
55	81.45303	60.24638	 	 	 	 	 	 	 	 	 	 
56	81.70949	60.33439	 	 	 	 	 	 	 	 	 	 
57	81.924866	60.348938	 	 	 	 	 	 	 	 	 	 
58	82.10835	60.307327	 	 	 	 	 	 	 	 	 	 
59	82.25823	60.19906	 	 	 	 	 	 	 	 	 	 
60	84.64192	60.12387	 	 	 	 	 	 	 	 	 	 
61	85.48159	59.337563	 	 	 	 	 	 	 	 	 	 
62	86.17702	57.77097	 	 	 	 	 	 	 	 	 	 
63	86.378525	56.217476	 	 	 	 	 	 	 	 	 	 
64	86.44721	53.440098	 	 	 	 	 	 	 	 	 	 
65	86.04951	49.976433	 	 	 	 	 	 	 	 	 	 
66	84.30586	46.07501	 	 	 	 	 	 	 	 	 	 
67	80.26249	43.394516	 	 	 	 	 	 	 	 	 	 
68	75.58272	41.352245	 	 	 	 	 	 	 	 	 	 
69	68.00688	38.398342	 	 	 	 	 	 	 	 	 	 
70	62.468414	36.03662	 	 	 	 	 	 	 	 	 	 
71	59.595737	34.121243	 	 	 	 	 	 	 	 	 	 
72	57.823605	33.093716	 	 	 	 	 	 	 	 	 	 
73	56.499626	33.725075	 	 	 	 	 	 	 	 	 	 
74	57.539146	35.07414	 	 	 	 	 	 	 	 	 	 
75	58.135757	35.559334	 	 	 	 	 	 	 	 	 	 
76	59.029934	35.39803	 	 	 	 	 	 	 	 	 	 
77	60.96437	35.27118	 	 	 	 	 	 	 	 	 	 
78	61.907696	34.872715	 	 	 	 	 	 	 	 	 	 
79	62.341785	34.912125	 	 	 	 	 	 	 	 	 	 
80	60.53633	33.80165	 	 	 	 	 	 	 	 	 	 
81	60.086487	33.221233	 	 	 	 	 	 	 	 	 	 
82	60.129875	33.086094	 	 	 	 	 	 	 	 	 	 
83	59.477913	32.36749	 	 	 	 	 	 	 	 	 	 
84	60.110683	31.547436	 	 	 	 	 	 	 	 	 	 
85	60.67042	30.78779	 	 	 	 	 	 	 	 	 	 
86	66.58353	31.564037	 	 	 	 	 	 	 	 	 	 
87	66.7984	31.481672	 	 	 	 	 	 	 	 	 	 
88	67.81259	29.994495	 	 	 	 	 	 	 	 	 	 
89	69.31794	30.942287	 	 	 	 	 	 	 	 	 	 
90	69.44155	30.269438	 	 	 	 	 	 	 	 	 	 
91	68.88407	27.96533	 	 	 	 	 	 	 	 	 	 
92	68.330734	26.99509	 	 	 	 	 	 	 	 	 	 
93	68.05473	26.457458	 	 	 	 	 	 	 	 	 	 
94	66.82522	25.608986	 	 	 	 	 	 	 	 	 	 
95	67.84834	24.624407	 	 	 	 	 	 	 	 	 	 
96	70.00129	24.423424	 	 	 	 	 	 	 	 	 	 
