 ,Area,Mean,Min,Max,XM,YM
1,496,197,96,232,187.752,10.1101
1,496,197,96,232,169.939,16.717
1,496,197,96,232,161.114,27.0873
1,496,197,96,232,87.6339,34.0424
1,496,197,96,232,195.933,32.7731
1,496,197,96,232,201.936,35.1236
1,496,197,96,232,152.956,43.0041
1,496,197,96,232,197.335,38.471
1,496,197,96,232,200.024,50.7898
1,496,197,96,232,153.41,87.4129
1,496,197,96,232,169.968,65.2828
1,496,197,96,232,218.993,89.1257
1,496,197,96,232,189.714,66.5159
1,496,197,96,232,242.365,91.8831
1,496,197,96,232,190.011,76.3366
1,496,197,96,232,190.959,87.3385
1,496,197,96,232,176.137,89.9949
1,496,197,96,232,188.336,96.7208
1,496,197,96,232,197.244,107.334
1,496,197,96,232,175.598,102.593
1,496,197,96,232,179.301,105.843
1,496,197,96,232,182.526,110.77
1,496,197,96,232,256.37,111.922
1,496,197,96,232,202.678,112.469
1,496,197,96,232,206.152,123.67
1,496,197,96,232,135.677,119.552
1,496,197,96,232,185.413,113.527
1,496,197,96,232,130.024,117.013
1,496,197,96,232,224.758,118.803
1,496,197,96,232,256.042,122.978
1,496,197,96,232,155.409,124.739
1,496,197,96,232,238.533,129.502
1,496,197,96,232,177.224,127.227
1,496,197,96,232,170.784,137.468
1,496,197,96,232,133.637,132.258
1,496,197,96,232,145.73,131.664
1,496,197,96,232,198.056,132.444
1,496,197,96,232,202.117,134.194
1,496,197,96,232,257.095,138.442
1,496,197,96,232,161.329,137.746
1,496,197,96,232,263.381,140.771
1,496,197,96,232,153.001,152.427
1,496,197,96,232,210.678,160.765
1,496,197,96,232,184.968,142.988
1,496,197,96,232,259.762,151.422
1,496,197,96,232,267.754,149.932
1,496,197,96,232,139.306,157.635
1,496,197,96,232,133.421,157.799
1,496,197,96,232,112.242,203.916
1,496,197,96,232,164.578,169.891
1,496,197,96,232,271.835,164.153
1,496,197,96,232,142.187,166.248
1,496,197,96,232,154.525,167.799
1,496,197,96,232,127.274,189.214
1,496,197,96,232,145.258,173.371
1,496,197,96,232,257.372,180.658
1,496,197,96,232,205.675,178.593
1,496,197,96,232,175.597,185.445
1,496,197,96,232,176.026,215.064
1,496,197,96,232,260.617,203.383
1,496,197,96,232,233.431,218.301
1,496,197,96,232,211.648,225.829
1,496,197,96,232,199.02,211.962
1,496,197,96,232,265.004,215.645
1,496,197,96,232,139.61,221.469
1,496,197,96,232,279.73,226.049
1,496,197,96,232,300.218,252.102
1,496,197,96,232,185.658,261.49
1,496,197,96,232,317.195,253.934
1,496,197,96,232,139.418,240.558
1,496,197,96,232,240.48,264.513
1,496,197,96,232,142.075,254.853
1,496,197,96,232,264.522,266.455
1,496,197,96,232,153.184,260.407
1,496,197,96,232,139.934,262.945
1,496,197,96,232,144.548,264.2
1,496,197,96,232,277.003,286.777
1,496,197,96,232,213.005,279.742
1,496,197,96,232,132.979,298.131
1,496,197,96,232,173.645,295.422
1,496,197,96,232,247.068,298.856
1,496,197,96,232,155.349,302.576
1,496,197,96,232,280.556,309.027
1,496,197,96,232,208.999,319.203
1,496,197,96,232,277.222,314.103
1,496,197,96,232,147.33,314.741
1,496,197,96,232,272.11,319.35
1,496,197,96,232,154.269,320.496
1,496,197,96,232,144.348,319.204
1,496,197,96,232,142.402,323.129
1,496,197,96,232,260.995,328.786
1,496,197,96,232,268.006,325.628
1,496,197,96,232,281.832,323.644
1,496,197,96,232,147.5,324.458
1,496,197,96,232,140.238,325.57
1,496,197,96,232,202.144,326.106
1,496,197,96,232,277.91,327.059
1,496,197,96,232,151.99,327.402
1,496,197,96,232,255.593,328.576
1,496,197,96,232,244.948,341.442
1,496,197,96,232,197.612,339.359
1,496,197,96,232,217.25,337.39
1,496,197,96,232,180.973,350.296
1,496,197,96,232,206.855,347.365
1,496,197,96,232,206.785,362.942
